Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
CG9839	FBgn0037633
CG6762	FBgn0030876
CG31495	FBgn0051495
borr	FBgn0032105
CG4294	FBgn0034742
HPS4	FBgn0034261
CG9323	FBgn0032883
yem	FBgn0005596
CG7903	FBgn0039730
CG2144	
Wbp2	FBgn0036318
CG5787	FBgn0032454
CG1344	FBgn0027507
corn	FBgn0259173
CG14933	FBgn0040968
CG3270	FBgn0033093
Dhap-at	FBgn0040212
mus205	FBgn0002891
drk	FBgn0004638
CG5147	FBgn0036775
CG10158	
l(2)35Cc	FBgn0259982
yip7	FBgn0040060
Su(z)2	FBgn0265623
ssx	FBgn0024987
p115	FBgn0040087
CG10863	FBgn0027552
RpL6	FBgn0039857
CG2321	FBgn0039663
Dbp73D	FBgn0004556
CG42445	FBgn0259916
CG33156	FBgn0053156
CG1434	FBgn0030554
CG5532	FBgn0034902
CG15617	FBgn0034151
luna	FBgn0040765
IA-2	FBgn0031294
Teh2	FBgn0035505
CG7430	FBgn0036762
CG18048	FBgn0037435
Cul4	FBgn0033260
BthD	FBgn0030501
Crag	FBgn0025864
CG7506	FBgn0035805
CG32732	FBgn0052732
wde	FBgn0027499
Fem-1	FBgn0034542
CG8481	FBgn0037747
gnu	FBgn0001120
IntS2	FBgn0030858
CG4953	FBgn0032204
Obp56d	FBgn0034470
CG12241	FBgn0038304
Ndae1	FBgn0259111
lgs	FBgn0039907
bsk	FBgn0000229
unc-104	FBgn0267002
sbr	FBgn0003321
SMC2	FBgn0027783
Lectin-galC1	FBgn0016675
CG12267	FBgn0038057
cyp33	FBgn0028382
CG3040	FBgn0029925
Cap-D3	FBgn0051989
nsl1	FBgn0262527
Vinc	FBgn0004397
pen-2	FBgn0053198
CG15385	FBgn0031397
CG14229	FBgn0031059
HP1b	FBgn0030082
Nup93-1	FBgn0027537
loqs	FBgn0032515
dgt3	FBgn0034569
zetaCOP	FBgn0040512
CG12818	FBgn0037809
Tsp42Ee	FBgn0029506
if	FBgn0001250
CG5708	FBgn0032196
AMPKalpha	FBgn0023169
CG8777	FBgn0033376
AkhR	FBgn0025595
CG17292	FBgn0032029
CG9125	FBgn0030793
l(3)03670	
7B2	FBgn0041707
CG11788	FBgn0034495
l(1)G0232	
RpL13	FBgn0011272
P5cr	FBgn0015781
CG4962	FBgn0036597
pinta	FBgn0038966
Klp3A	FBgn0011606
dpr7	FBgn0053481
Evi5	FBgn0262740
Glt	FBgn0001114
Fdh	FBgn0011768
Stam	FBgn0027363
CG8461	FBgn0038235
Spt3	FBgn0037981
CG12375	FBgn0031987
eca	FBgn0069242
CG15817	
CG2875	FBgn0029672
Nnf1b	FBgn0051658
Sap47	FBgn0013334
disco-r	FBgn0285879
CG14186	FBgn0036935
CG1970	FBgn0086839
Ssdp	FBgn0011481
CG4629	FBgn0031299
Tpc1	FBgn0037852
Ide	FBgn0001247
CG8378	
CG12744	FBgn0033459
Ahcy89E	
CG9515	FBgn0032077
Srp19	FBgn0015298
okr	FBgn0002989
Kr-h1	FBgn0266450
Mys45A	FBgn0033379
CG9099	
Hmgs	FBgn0010611
CG8677	FBgn0026577
CG10907	FBgn0036207
eIF2B-delta	
mlt	FBgn0265512
hipk	
CG1812	FBgn0031119
Jafrac1	FBgn0040309
CG8097	FBgn0030660
HERC2	FBgn0031107
CG3652	FBgn0031600
Top2	FBgn0284220
CG13284	FBgn0032614
CG42394	FBgn0259740
CG14762	FBgn0033250
e(r)	FBgn0011586
Sec15	FBgn0266674
ECSIT	FBgn0028436
CG11986	FBgn0037656
tan	
ken	FBgn0011236
ct	FBgn0004198
PebII	
CG1103	FBgn0037235
CG1737	FBgn0030293
CG8931	FBgn0030717
ldbr	FBgn0035838
CG17454	FBgn0039977
CG13097	FBgn0032051
Lmpt	FBgn0261565
CG33181	FBgn0053181
Clbn	FBgn0259152
tank	FBgn0031635
CG7214	FBgn0031940
Rbp6	FBgn0260943
ligatin	
Caf1	
CtBP	FBgn0020496
CG12945	FBgn0037755
CG1146	FBgn0035346
CG43783	FBgn0264305
RpL12	FBgn0034968
mRpS17	FBgn0034986
CG7154	FBgn0031947
btsz	FBgn0266756
CG15546	FBgn0039807
CG32202	FBgn0052202
CG12004	FBgn0035236
Gprk1	FBgn0260798
CG14117	FBgn0036331
spn-F	FBgn0086362
ERp60	FBgn0033663
Fib	FBgn0003062
CG18643	FBgn0037898
Cyp12a5	FBgn0038680
CG30349	FBgn0050349
ird5	FBgn0067497
Fie	FBgn0026592
IntS14	FBgn0031314
CG4269	FBgn0034741
PNUTS	FBgn0053526
sli	FBgn0264089
CG15309	FBgn0030183
Not10	FBgn0260444
CG17490	FBgn0040009
CG3609	FBgn0031418
CG10249	FBgn0027596
mRpL44	FBgn0037330
Cctgamma	
CG11399	FBgn0037021
MTF-1	FBgn0040305
heph	FBgn0011224
agt	FBgn0024912
CG3860	FBgn0034951
CG9996	
CG45057	FBgn0266417
Hcs	FBgn0037332
CG11178	FBgn0030499
Cat	FBgn0000261
Rrp46	FBgn0037815
Wdr82	FBgn0032030
Su(var)2-HP2	FBgn0026427
Cap-G	FBgn0259876
l(1)G0289	FBgn0028331
mRpL17	FBgn0035122
CG31729	FBgn0051729
RYBP	FBgn0034763
CG17029	FBgn0036551
Elp1	FBgn0037926
CG33276	FBgn0053276
Mat89Ba	FBgn0261286
CG11902	FBgn0028647
CG13322	FBgn0033784
CG14005	FBgn0031739
enok	FBgn0034975
Rok	FBgn0026181
Syt4	FBgn0028400
be	FBgn0052594
Cont	FBgn0037240
CG5664	FBgn0037082
CG3313	
CG33217	FBgn0053217
Acer	FBgn0016122
CG10949	FBgn0032858
CG11658	FBgn0036196
Cpr49Ae	FBgn0033728
Mtk	FBgn0014865
Saf-B	FBgn0039229
CG3589	FBgn0035065
CG9119	FBgn0035189
Rpn2	FBgn0028692
Mob2	FBgn0259481
D12	FBgn0027490
CG6744	FBgn0037901
CG30345	FBgn0050345
CG12082	
geminin	FBgn0033081
dm	
CG17841	FBgn0028480
Cyp12d1-d	FBgn0053503
Zw	FBgn0004057
CG2747	FBgn0037541
Manf	FBgn0027095
CG14667	FBgn0037317
Iswi	FBgn0011604
mRpL20	FBgn0036335
Mal-A2	FBgn0002569
CG32669	FBgn0052669
gk	
mnd	FBgn0002778
Syngr	FBgn0033876
Roc1a	FBgn0025638
Atg4b	FBgn0038325
CG4692	FBgn0035032
CG4297	FBgn0031258
CG4723	FBgn0039023
CG10306	FBgn0068513
l(3)neo18	FBgn0067956
CG3358	FBgn0033117
CG2021	FBgn0035271
CG17352	
crn	FBgn0000377
CG5966	FBgn0029831
mRpS33	FBgn0038426
mRpL1	FBgn0037566
mRpS5	FBgn0044510
Ser7	FBgn0019929
CG3342	FBgn0029874
CG2765	FBgn0035087
ATPsyn-beta	
Bub3	FBgn0025457
CG32809	FBgn0023531
CG14615	FBgn0031184
Klp68D	FBgn0004381
GlcT-1	FBgn0067102
flr	FBgn0260049
Blos3	FBgn0085284
CG9715	
CG3021	FBgn0040337
Rab11	FBgn0015790
bves	FBgn0031150
regucalcin	FBgn0030362
CG31678	FBgn0051678
Sodh-1	FBgn0024289
CG1840	FBgn0030351
CG12769	FBgn0033252
CG32633	FBgn0052633
CG1218	FBgn0037377
CG15535	FBgn0039764
CG6972	FBgn0039008
CG31875	FBgn0051875
CG15422	FBgn0031579
Mgat1	FBgn0034521
Tre1	FBgn0046687
Tfb4	FBgn0031309
Ance-4	FBgn0033366
Rabex-5	FBgn0262937
CG31869	FBgn0051869
tsl	FBgn0003867
CG5118	FBgn0031317
Treh	FBgn0003748
Strn-Mlck	FBgn0265045
Updo	FBgn0033428
CG6321	FBgn0036117
CG11897	FBgn0039644
Tdrd3	FBgn0036450
DNApol-alpha180	FBgn0259113
CG9498	FBgn0031801
CG8216	
CG11069	FBgn0039244
Lpt	FBgn0263667
Tango13	FBgn0086674
mael	FBgn0016034
Atx2	FBgn0041188
CG14990	FBgn0035496
Nup54	FBgn0033737
CG13659	FBgn0039319
Nha2	FBgn0263390
CG16836	FBgn0040735
CG7394	FBgn0036173
CG2218	FBgn0039767
bys	FBgn0010292
CG11802	FBgn0030346
CG1789	FBgn0030063
RpS28b	FBgn0030136
CG13404	FBgn0030559
CG31517	FBgn0047199
CG42700	FBgn0261611
Art3	FBgn0038306
CG4825	FBgn0037010
CG3168	FBgn0029896
CG32549	FBgn0052549
CG3523	FBgn0283427
CG30160	FBgn0050160
pon	FBgn0025739
asun	FBgn0020407
MESK4	FBgn0043069
CAH2	FBgn0027843
Cyp313a1	FBgn0038236
CG31619	FBgn0051619
CG4721	FBgn0039024
Taf1	FBgn0010355
RpS5a	FBgn0002590
CG9684	FBgn0037583
Gcn2	FBgn0019990
jnj	FBgn0266282
Bx	FBgn0265598
Vps13	FBgn0033194
alpha-Est7	FBgn0015575
sdt	FBgn0261873
ewg	FBgn0005427
CG8245	FBgn0033031
CG9581	FBgn0031093
Hira	FBgn0022786
Spn88Ea	FBgn0028984
CG13096	FBgn0032050
DNaseII	FBgn0000477
CG13742	FBgn0033372
BCL7-like	FBgn0026149
CG14252	FBgn0039462
Dmn	
aos	FBgn0004569
CG11147	FBgn0031734
CG17737	FBgn0035423
bchs	FBgn0043362
Traf-like	FBgn0030748
Rap2l	FBgn0283666
CG11127	FBgn0033178
ATPsyn-b	
CG8003	FBgn0036096
Cenp-C	FBgn0266916
CG11927	FBgn0031638
slmo	FBgn0029161
Spn55B	FBgn0028983
CG4585	FBgn0025335
CG18213	FBgn0038470
CG14786	
ND23	
CG33307	FBgn0053307
msd1	FBgn0035209
CG10927	FBgn0034360
NKAIN	FBgn0085442
CG7806	FBgn0032018
CG31156	FBgn0051156
sv	FBgn0005561
CG33056	FBgn0053056
Fdxh	
CG10581	FBgn0037046
mus81	FBgn0040347
MKP-4	FBgn0031044
CG10336	FBgn0032698
CG31648	FBgn0051648
scf	FBgn0025682
Ca-P60A	
ras	FBgn0003204
hoe2	FBgn0031649
eff	FBgn0011217
Slimp	FBgn0051133
CG1703	FBgn0030321
KFase	FBgn0031821
Cyt-c-p	FBgn0284248
CG3645	FBgn0031238
jp	FBgn0032129
Sin3A	FBgn0022764
CG5599	FBgn0030612
CG32425	FBgn0052425
mRpS14	FBgn0044030
List	FBgn0034381
CG31211	FBgn0051211
Trf4-1	FBgn0030049
CG3530	FBgn0028497
fliI	FBgn0000709
CG43759	FBgn0264090
Smc5	
CG31343	FBgn0051343
CG12096	FBgn0030457
ebi	FBgn0263933
ea	FBgn0000533
RapGAP1	FBgn0264895
NfI	FBgn0042696
CG31121	FBgn0051121
Spn42Dd	FBgn0028988
Rab19	FBgn0015793
MED25	FBgn0038760
CG1827	FBgn0033431
CG32000	FBgn0052000
CG30421	FBgn0050421
yellow-d	FBgn0041712
wibg	
CG3815	FBgn0029861
cni	FBgn0000339
CG43313	FBgn0263005
CG12018	FBgn0027903
Fbxl4	FBgn0030555
CG10866	FBgn0035475
CG31199	FBgn0051199
Syp	FBgn0038826
CG4945	FBgn0034137
CG7791	FBgn0033038
sano	FBgn0034408
CG9005	FBgn0033638
noc	FBgn0005771
Whamy	FBgn0037750
CG30382	FBgn0050382
Pex11	FBgn0034058
Hpr1	FBgn0037382
Rab40	FBgn0030391
Mekk1	FBgn0024329
CG18003	FBgn0061356
CG9505	FBgn0031805
CG6091	
CG10413	FBgn0032689
CG34191	
siz	FBgn0026179
CG6409	FBgn0036106
AstC	FBgn0032336
CG8321	FBgn0033677
CG9636	FBgn0037556
CG5292	FBgn0038491
CG2658	FBgn0024992
Top3beta	FBgn0026015
Mtch	FBgn0027786
Mcm5	FBgn0017577
CG17982	FBgn0030006
CG5098	FBgn0034300
CG6463	FBgn0047038
CG43921	FBgn0264542
CG9864	FBgn0034490
CG12493	FBgn0035571
CG30051	FBgn0050051
CG10962	FBgn0030073
Ccs	FBgn0010531
KLHL18	FBgn0037978
Ubc12	
CG8774	FBgn0038136
Aldh	FBgn0012036
CG4645	FBgn0030435
ATPsyn-gamma	
phtf	FBgn0028579
CG17180	FBgn0035140
fzy	FBgn0001086
polybromo	FBgn0039227
Jabba	FBgn0259682
GXIVsPLA2	FBgn0036545
CG15255	FBgn0028950
CG11357	FBgn0035558
CG2135	FBgn0270927
st	FBgn0003515
Surf1	FBgn0029117
SCAP	FBgn0033052
step	FBgn0086779
GNBP2	FBgn0040322
CG11089	FBgn0039241
Kaz-m1	FBgn0002578
Chc	FBgn0000319
CG13117	FBgn0032140
Sar1	FBgn0038947
CG14817	FBgn0026089
CG4250	FBgn0034761
MYPT-75D	FBgn0036801
pix	FBgn0086706
CG10366	FBgn0032814
Akap200	FBgn0027932
Tango14	FBgn0031312
CG5087	FBgn0035953
CG4476	FBgn0035969
Yp1	FBgn0004045
SoYb	FBgn0051755
CG12772	FBgn0030055
Bsg25D	FBgn0000228
kuk	FBgn0038476
CG8498	FBgn0031992
Tom20	FBgn0036928
pr-set7	
CASK	FBgn0013759
CG42249	FBgn0259101
glob1	FBgn0027657
obst-E	FBgn0031737
CG12025	FBgn0035285
alpha-Est8	FBgn0015576
CG16826	FBgn0032505
CG7556	FBgn0030990
Kap-alpha3	FBgn0027338
jumu	FBgn0015396
lox2	FBgn0034660
CG13822	
CG7504	FBgn0035842
CG12404	FBgn0032465
CG1441	FBgn0033464
dpp	FBgn0000490
CG4562	FBgn0038740
Cpr49Ab	FBgn0050042
CG8547	FBgn0033919
CG42709	FBgn0261674
CG42514	FBgn0260388
Gem2	FBgn0036850
CG4707	FBgn0035036
CG12262	FBgn0035811
CG8258	FBgn0284436
comm3	FBgn0259236
Gbeta13F	FBgn0001105
psidin	FBgn0243511
CG5791	FBgn0040582
kin17	FBgn0024887
Topors	FBgn0267351
CG11307	FBgn0037106
CG4942	FBgn0035960
mthl3	FBgn0028956
PMCA	FBgn0259214
CG12379	FBgn0030676
CoVa	FBgn0067172
dalao	
Slc45-1	FBgn0035968
mbt	FBgn0025743
Irc	FBgn0038465
Gpo-1	FBgn0022160
CG9673	FBgn0030775
hrg	FBgn0015949
CG6843	FBgn0036827
wnd	FBgn0036896
mRpL46	FBgn0035272
CG5973	FBgn0031914
l(3)neo43	FBgn0011476
Sec71	FBgn0028538
CG4603	FBgn0035593
Pde11	FBgn0085370
RpS14b	FBgn0004404
scrib	FBgn0263289
Ranbp16	FBgn0053180
CG10638	FBgn0036290
Rab30	FBgn0031882
Hrb27C	FBgn0004838
His2Av	FBgn0001197
CG4119	FBgn0028474
CG33090	FBgn0028916
Arr1	FBgn0000120
mthl4	FBgn0034219
crol	FBgn0020309
l(1)G0196	FBgn0027279
Sec24AB	FBgn0033460
hng2	FBgn0037634
dap	FBgn0010316
CG33172	FBgn0053172
nito	FBgn0027548
Rpd3	FBgn0185553
CG16890	FBgn0028932
bt	FBgn0005666
Ndg	FBgn0026403
meso18E	FBgn0040089
CG4949	FBgn0030813
CG16904	FBgn0037763
Gasz	FBgn0033273
CG9717	FBgn0039789
CG12576	FBgn0031190
Cpsf100	FBgn0027873
Vps26	FBgn0014411
CaBP1	FBgn0025678
CG17977	FBgn0040778
Karl	FBgn0030334
RpL11	FBgn0013325
NUCB1	FBgn0052190
Idgf5	FBgn0064237
Grip128	FBgn0026433
msl-2	FBgn0005616
CG4282	FBgn0034114
PCNA	FBgn0005655
CG3906	FBgn0034871
nAChRbeta2	FBgn0004118
CG10338	FBgn0032700
Pp1-87B	FBgn0004103
dlg1	FBgn0001624
Pk17E	FBgn0068097
Aats-phe	
Rfx	FBgn0020379
CG8854	FBgn0033702
Spred	FBgn0020767
CG5516	FBgn0038389
GstD1	FBgn0001149
CG31886	FBgn0032079
CG4860	FBgn0037999
CG5941	FBgn0029833
yellow-d2	FBgn0034856
CG10795	FBgn0034626
Catsup	FBgn0002022
heix	FBgn0028375
MED26	FBgn0039923
Dys	FBgn0260003
mod(r)	
CG15771	FBgn0029801
Unc-115a	FBgn0051352
Cyp4d8	FBgn0015033
Myo61F	FBgn0010246
CG6617	FBgn0030944
Rab9	FBgn0032782
CG4753	FBgn0036622
CG6796	
CG11284	FBgn0030056
CG11779	FBgn0038683
Ank	FBgn0011747
gcl	FBgn0005695
CG10561	FBgn0002036
CG7611	FBgn0037094
CG42586	FBgn0260954
cdc2c	FBgn0067994
Ptp10D	FBgn0004370
CG12795	FBgn0031535
CG17928	FBgn0032603
numb	FBgn0002973
CG14043	FBgn0031659
Nrx-IV	FBgn0013997
GstE11	FBgn0034354
rdhB	FBgn0038946
CG8128	FBgn0030668
CG30015	FBgn0050015
CG11261	FBgn0036332
CG3149	FBgn0027564
dik	
CG18262	FBgn0030012
CG12010	FBgn0035443
E(z)	FBgn0000629
CrebB	FBgn0265784
Sply	FBgn0010591
yki	FBgn0034970
Pka-C3	FBgn0000489
CG31688	FBgn0263355
Baldspot	FBgn0260960
CG3847	FBgn0029867
Mrp4	FBgn0263316
emb	FBgn0020497
CrebA	FBgn0004396
CG10011	FBgn0039590
Cyt-c-d	FBgn0086907
CG9281	FBgn0030672
mwh	FBgn0264272
CG12204	FBgn0031022
Sip1	
Phae2	FBgn0263235
Nmdmc	FBgn0010222
sug	FBgn0033782
CG13192	FBgn0033653
Ssadh	FBgn0039349
CG3156	FBgn0023536
Jon74E	FBgn0023197
Mcr	FBgn0267488
Cyp28d1	FBgn0031689
lola	FBgn0283521
Arc42	FBgn0038742
CG3016	
swi2	FBgn0034262
CG5550	FBgn0034160
CG13895	FBgn0035158
nuf	FBgn0013718
elav	FBgn0260400
Ppt2	FBgn0032358
moody	FBgn0025631
Pc	FBgn0003042
pyd3	FBgn0037513
AdSS	FBgn0027493
CG32687	FBgn0052687
GstS1	FBgn0010226
CG7849	FBgn0033060
betaCOP	FBgn0008635
CG14984	FBgn0035480
qkr58E-2	FBgn0022985
CG31800	FBgn0051800
CG6770	FBgn0032400
pot	FBgn0250871
Proc	FBgn0045038
CG18173	
qvr	FBgn0260499
CG3570	FBgn0035035
LpR2	FBgn0051092
CG8617	FBgn0033925
CG6962	FBgn0037958
LSm7	FBgn0261068
CG42788	FBgn0261859
spd-2	FBgn0027500
omd	FBgn0038168
Nup98-96	FBgn0039120
igl	FBgn0013467
her	FBgn0001185
l(3)72Dn	FBgn0263605
Papst2	FBgn0036695
Tsp42Ed	FBgn0029507
mip40	FBgn0034430
CG13631	FBgn0040600
CG5210	
Mer	FBgn0086384
Exo84	FBgn0266668
T3dh	FBgn0017482
Ing3	FBgn0030945
stai	FBgn0266521
CG2246	FBgn0039790
Lasp	FBgn0063485
BubR1	FBgn0263855
CG5804	FBgn0035926
Hnf4	FBgn0004914
bor	FBgn0040237
CG8915	FBgn0030833
CG8303	FBgn0034143
Aats-pro	
U26	FBgn0027780
Ip259	FBgn0025366
fbl	FBgn0011205
cutlet	FBgn0015376
CG16787	FBgn0034940
CG14591	FBgn0033054
CG6805	FBgn0034179
mge	FBgn0035473
CG17192	FBgn0039472
Jon99Ci	FBgn0003358
CG5862	FBgn0038868
Zip99C	FBgn0039714
CG10424	FBgn0036848
RfC38	FBgn0028700
CG13630	FBgn0039219
Aos1	FBgn0029512
CG11526	
Letm1	FBgn0284252
CG5290	FBgn0036772
CS-2	FBgn0029091
Dyrk3	FBgn0027101
Sp7	FBgn0037515
MAGE	FBgn0037481
CG11739	FBgn0037239
mRpL12	FBgn0011787
CSN4	FBgn0027054
Eip63F-1	FBgn0004910
hdly	FBgn0038842
TwdlE	FBgn0031957
RpL10	FBgn0024733
levy	FBgn0034877
Cyp6g1	FBgn0025454
CG13650	FBgn0039277
mRpL13	FBgn0032720
l(2)35Di	
Dgp-1	FBgn0027836
CG31935	FBgn0051935
Rpn1	FBgn0028695
Aats-val	
CG9812	FBgn0034860
CG8596	FBgn0035767
CG3902	FBgn0036824
RpL5	FBgn0064225
CG1582	FBgn0030246
CG9186	FBgn0035206
Mdr49	FBgn0004512
CG17765	FBgn0033529
mts	FBgn0004177
CG8145	
p38b	FBgn0024846
hep	FBgn0010303
Prosap	FBgn0040752
CG3566	FBgn0029854
unk	FBgn0004395
Tollo	FBgn0029114
puc	FBgn0243512
sicily	FBgn0030352
CG6028	FBgn0038924
Eps-15	FBgn0035060
Cals	FBgn0039928
hb	FBgn0001180
Gpi1	FBgn0042731
CG8080	FBgn0033373
Fsn	FBgn0043010
CG8132	FBgn0037687
noe	FBgn0026197
trsn	FBgn0033528
ush	FBgn0003963
Spx	FBgn0015818
Pmp70	FBgn0031069
fs(1)N	FBgn0004650
CG11148	
rump	FBgn0267790
CG18598	FBgn0038589
CG15096	FBgn0034394
CG11652	FBgn0036194
babos	FBgn0034724
fwe	FBgn0261722
Traf4	FBgn0026319
CG6422	FBgn0039261
CG15602	FBgn0030694
CG15073	FBgn0034379
CG42671	FBgn0261553
CG10133	FBgn0036366
CG10494	FBgn0034634
whd	FBgn0261862
stas	FBgn0030850
CG12321	FBgn0038577
DNApol-alpha60	FBgn0259676
Edem2	FBgn0032480
Pde8	FBgn0266377
CG8298	FBgn0033673
CG12207	FBgn0038220
CG17187	FBgn0037882
Hsc70-4	FBgn0266599
Vps2	FBgn0039402
CG11190	
CG17508	FBgn0039970
Acox57D-p	FBgn0034628
GV1	FBgn0027790
DnaJ-H	FBgn0032474
pio	FBgn0020521
RhoGEF2	FBgn0023172
pbl	FBgn0003041
tej	FBgn0033921
orb	FBgn0004882
CG7371	
edl	FBgn0023214
Gas41	FBgn0031873
CG32091	FBgn0052091
vib	FBgn0267975
Kdm4B	FBgn0053182
isopeptidase-T-3	FBgn0028372
CG10898	FBgn0037911
CG31908	FBgn0051908
Inx7	FBgn0027106
mid	FBgn0261963
MtnD	FBgn0053192
Npl4	FBgn0039348
CG3626	FBgn0029706
Cpr49Ag	FBgn0033730
cue	FBgn0011204
CG6144	FBgn0032259
CG2818	FBgn0031566
Membrin	FBgn0260856
CG17328	FBgn0028895
ND75	FBgn0084715
Pnn	FBgn0037737
Tm2	FBgn0004117
CG7860	FBgn0030653
Yp3	FBgn0004047
SdhC	FBgn0037873
CG3842	FBgn0029866
CG7200	FBgn0032671
Klp10A	FBgn0030268
Capr	FBgn0042134
wda	FBgn0039067
CG12824	FBgn0033222
CG3597	FBgn0031417
stv	FBgn0086708
CG18327	FBgn0033904
eIF2B-epsilon	
Axud1	FBgn0261647
CG10068	FBgn0037473
Src42A	FBgn0264959
CG1532	FBgn0031143
CG5773	FBgn0034290
Ephrin	FBgn0040324
CG5521	FBgn0039466
CG10420	FBgn0039296
CG3603	FBgn0029648
cert	FBgn0027569
CG10353	FBgn0030349
Ssu72	FBgn0031054
CkIIalpha-i1	FBgn0015025
gwl	FBgn0260399
CG7194	FBgn0035868
eys	FBgn0031414
sws	FBgn0003656
CG12090	FBgn0053971
Usf	FBgn0029711
nmd	FBgn0005322
CG2794	FBgn0031265
CG44774	FBgn0266000
coil	FBgn0033265
dmt	FBgn0278604
CG14650	FBgn0037252
CG7536	FBgn0030890
CG5676	FBgn0032200
milt	FBgn0262872
ebd1	FBgn0035153
hop	FBgn0004864
lcs	FBgn0028583
CG2862	FBgn0031459
CG1620	FBgn0033183
gb	FBgn0039487
CG17486	FBgn0032997
Moe	FBgn0011661
CG32448	FBgn0052448
PGAP3	FBgn0033088
c11.1	FBgn0040236
CG5220	FBgn0038471
Spt5	FBgn0040273
FER	FBgn0000723
CG30423	FBgn0050423
CG3808	FBgn0036838
Jon65Ai	FBgn0035667
MAPk-Ak2	FBgn0013987
CG15084	FBgn0034402
Rbp1	FBgn0260944
Mgat2	FBgn0039738
gry	FBgn0035416
Prosalpha5	FBgn0016697
Gyk	
CG12848	FBgn0040666
CG9921	FBgn0030743
CG18081	FBgn0036537
Dip2	
CG5567	FBgn0036760
CG17746	FBgn0035425
Rh4	FBgn0003250
CG14200	FBgn0031023
Ns4	FBgn0032882
Idgf2	FBgn0020415
CG12056	FBgn0030099
CG14749	FBgn0033316
Pdp1	FBgn0016694
CG8569	FBgn0033752
Lis-1	FBgn0015754
CG12091	FBgn0035228
Unc-115b	FBgn0260463
Hrb87F	FBgn0004237
PDZ-GEF	FBgn0265778
tor	FBgn0003733
CG14275	FBgn0032022
sel	FBgn0263260
CG4338	FBgn0038313
CG11070	FBgn0028467
CG18180	FBgn0036024
MED30	FBgn0035149
CG14567	FBgn0037126
Ak6	FBgn0033754
CG10959	FBgn0030010
CG4558	FBgn0029914
CG18659	FBgn0027561
frj	FBgn0031815
CG15021	FBgn0035544
CG12560	FBgn0031974
CG31345	FBgn0051345
l(2)35Bd	FBgn0001974
CG32816	FBgn0052816
Galphai	FBgn0001104
CG33470	FBgn0053470
Rpt4	FBgn0028685
CG13917	FBgn0035237
CG9919	FBgn0030742
CG3309	FBgn0029756
CG4615	FBgn0029935
Vm26Ab	FBgn0003980
Dip1	
Sirt2	FBgn0038788
CG42240	FBgn0250869
P5cr-2	FBgn0038516
CG13827	FBgn0039068
CG42365	FBgn0259711
l(3)72Ab	FBgn0263599
CG2277	FBgn0035204
CG31195	FBgn0051195
SmE	FBgn0261790
twin	FBgn0011725
Ice2	FBgn0038860
tam	FBgn0004406
spi	FBgn0005672
Dg	FBgn0034072
Ranbp9	FBgn0037894
comt	FBgn0000346
CG9391	FBgn0037063
jigr1	FBgn0039350
Arpc2	FBgn0032859
CG10737	FBgn0034420
CG8436	
Lnk	FBgn0028717
CG11414	FBgn0035024
Sxl	FBgn0264270
disco	FBgn0000459
CG14100	FBgn0036889
CG10395	FBgn0033019
CG7685	FBgn0038619
Psi	FBgn0014870
CG3011	FBgn0029823
ast	FBgn0015905
CG31414	FBgn0051414
sip2	FBgn0031878
tos	FBgn0015553
MSBP	FBgn0030703
UbcD2	
Tudor-SN	FBgn0035121
CG31650	FBgn0031673
CG11396	FBgn0037022
bel	FBgn0263231
CG3999	FBgn0037801
DopEcR	FBgn0035538
CG12325	FBgn0033557
Mctp	FBgn0034389
CG17272	FBgn0038830
CG14299	
IntS8	FBgn0025830
Gp210	FBgn0266580
Tsp	FBgn0031850
TfIIFalpha	FBgn0010282
CG4622	FBgn0035021
CG17912	FBgn0032600
CG2200	FBgn0030447
cbt	FBgn0043364
Nelf-E	FBgn0017430
TfIIS	FBgn0010422
RpS8	FBgn0039713
CG33331	FBgn0067628
CG2993	FBgn0037521
Tsp42Ej	FBgn0033132
Tango9	FBgn0260744
CG31041	FBgn0051041
CG1663	FBgn0033449
CG8078	FBgn0033375
nop5	FBgn0026196
GckIII	FBgn0266465
CG4925	
beta3GalTII	FBgn0033315
LanB1	FBgn0261800
rols	FBgn0041096
CG33199	FBgn0053199
Pp2A-29B	FBgn0260439
ATP7	FBgn0030343
CG11050	FBgn0031836
vfl	
egh	FBgn0001404
CG32262	FBgn0052262
CG10347	FBgn0030342
beg	FBgn0036691
CG5180	FBgn0043457
Jon99Ciii	FBgn0003357
Rbp2	
ebd2	FBgn0037076
CG34008	FBgn0054008
Gga	FBgn0030141
CG13163	
CG5641	FBgn0038046
CG8607	FBgn0035760
Nsun2	FBgn0026079
CG6308	FBgn0030645
Irp-1A	FBgn0024958
rudhira	FBgn0266019
CG17333	FBgn0030239
lambdaTry	FBgn0043470
CG7920	FBgn0039737
olf186-M	FBgn0015522
Acf1	
CG31122	FBgn0051122
MED18	FBgn0026873
Ublcp1	FBgn0027526
CG10157	FBgn0039099
PI4KIIIalpha	FBgn0267350
CG34250	FBgn0085279
Psa	FBgn0261243
CG11665	FBgn0033028
CG13252	FBgn0037016
prominin-like	FBgn0026189
didum	FBgn0261397
CG13506	FBgn0034723
CG9634	
cnk	FBgn0021818
smg	FBgn0016070
CG6746	FBgn0032394
CG9425	FBgn0036451
AlkB	FBgn0065035
beta'COP	FBgn0025724
crp	FBgn0001994
CG4554	FBgn0034734
CG32022	FBgn0052022
